locus_tag	ftype	gene	EC_number	product
ALJHJBEP_01136	CDS			hypothetical protein
ALJHJBEP_01137	CDS	casA		CRISPR system Cascade subunit CasA
ALJHJBEP_01138	CDS	ygcB	3.1.-.-	CRISPR-associated endonuclease/helicase Cas3
ALJHJBEP_01139	CDS			hypothetical protein
ALJHJBEP_01140	CDS	cysH_2	1.8.4.8	Phosphoadenosine phosphosulfate reductase
ALJHJBEP_01141	CDS	cysI	1.8.1.2	Sulfite reductase [NADPH] hemoprotein beta-component
ALJHJBEP_01142	CDS	cysJ_1	1.8.1.2	Sulfite reductase [NADPH] flavoprotein alpha-component
ALJHJBEP_01143	CDS	queD	4.1.2.50	6-carboxy-5,6,7,8-tetrahydropterin synthase
ALJHJBEP_01144	CDS		1.5.5.1	Electron transfer flavoprotein-ubiquinone oxidoreductase
ALJHJBEP_01145	CDS	fixX_2		Ferredoxin-like protein FixX
ALJHJBEP_01146	CDS	glpP		Glycerol uptake operon antiterminator regulatory protein
ALJHJBEP_01147	CDS	etfA_2		Electron transfer flavoprotein subunit alpha
ALJHJBEP_01148	CDS			hypothetical protein
ALJHJBEP_01149	CDS	etfB_1		Electron transfer flavoprotein subunit beta
ALJHJBEP_01150	CDS	ygcS_1		Inner membrane metabolite transport protein YgcS
ALJHJBEP_01151	CDS	ygcS_2		Inner membrane metabolite transport protein YgcS
ALJHJBEP_01152	CDS		1.-.-.-	putative FAD-linked oxidoreductase
ALJHJBEP_01153	CDS	kduD_1	1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
ALJHJBEP_01154	CDS	yqcE		Inner membrane protein YqcE
ALJHJBEP_01155	CDS	lsrK_1	2.7.1.189	Autoinducer-2 kinase
ALJHJBEP_01156	CDS	queE	4.3.99.3	7-carboxy-7-deazaguanine synthase
ALJHJBEP_01157	CDS			hypothetical protein
ALJHJBEP_01158	CDS			hypothetical protein
ALJHJBEP_01159	CDS			hypothetical protein
ALJHJBEP_01160	CDS			hypothetical protein
ALJHJBEP_01161	CDS	eno	4.2.1.11	Enolase
ALJHJBEP_01162	CDS	pyrG	6.3.4.2	CTP synthase
ALJHJBEP_01163	CDS	mazG	3.6.1.8	Nucleoside triphosphate pyrophosphohydrolase
ALJHJBEP_01164	CDS	mazF	3.1.27.-	Endoribonuclease MazF
ALJHJBEP_01165	CDS	mazE		Antitoxin MazE
ALJHJBEP_01166	CDS	relA	2.7.6.5	GTP pyrophosphokinase
ALJHJBEP_01167	CDS	rlmD	2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
ALJHJBEP_01168	CDS	barA	2.7.13.3	Signal transduction histidine-protein kinase BarA
ALJHJBEP_01169	CDS	gudD	4.2.1.40	Glucarate dehydratase
ALJHJBEP_01170	CDS	gudX_1	4.2.1.-	Glucarate dehydratase-related protein
ALJHJBEP_01171	CDS	gudX_2	4.2.1.-	Glucarate dehydratase-related protein
ALJHJBEP_01172	CDS	gudP		putative glucarate transporter
ALJHJBEP_01173	CDS	cysJ_2	1.8.1.2	Sulfite reductase [NADPH] flavoprotein alpha-component
ALJHJBEP_01174	CDS	truC	5.4.99.26	tRNA pseudouridine synthase C
ALJHJBEP_01175	CDS			hypothetical protein
ALJHJBEP_01176	CDS	syd		Protein Syd
ALJHJBEP_01177	CDS	queF	1.7.1.13	NADPH-dependent 7-cyano-7-deazaguanine reductase
ALJHJBEP_01178	CDS			hypothetical protein
ALJHJBEP_01179	CDS	sdaC		Serine transporter
ALJHJBEP_01180	CDS	sdaB	4.3.1.17	L-serine dehydratase 2
ALJHJBEP_01181	CDS	ygdG	3.1.-.-	Flap endonuclease Xni
ALJHJBEP_01182	CDS	fucO	1.1.1.77	Lactaldehyde reductase
ALJHJBEP_01183	CDS	fucA	4.1.2.17	L-fuculose phosphate aldolase
ALJHJBEP_01184	CDS	fucP		L-fucose-proton symporter
ALJHJBEP_01185	CDS	fucI	5.3.1.25	L-fucose isomerase
ALJHJBEP_01186	CDS	fucK	2.7.1.51	L-fuculokinase
ALJHJBEP_01187	CDS	fucU	5.1.3.29	L-fucose mutarotase
ALJHJBEP_01188	CDS	glpR_1		Glycerol-3-phosphate regulon repressor
ALJHJBEP_01189	CDS	rlmM	2.1.1.186	Ribosomal RNA large subunit methyltransferase M
ALJHJBEP_01190	CDS			hypothetical protein
ALJHJBEP_01191	CDS	gcvA_1		Glycine cleavage system transcriptional activator
ALJHJBEP_01192	CDS	ygdR_1		putative lipoprotein YgdR
ALJHJBEP_01193	CDS	csdA	2.8.1.7	Cysteine desulfurase CsdA
ALJHJBEP_01194	CDS	csdE		Sulfur acceptor protein CsdE
ALJHJBEP_01195	CDS	tcdA	6.1.-.-	tRNA threonylcarbamoyladenosine dehydratase
ALJHJBEP_01196	CDS	mltA	4.2.2.-	Membrane-bound lytic murein transglycosylase A
ALJHJBEP_01197	tRNA			tRNA-Met(cat)
ALJHJBEP_01198	tRNA			tRNA-Met(cat)
ALJHJBEP_01199	tRNA			tRNA-Met(cat)
ALJHJBEP_01200	CDS	amiC	3.5.1.28	N-acetylmuramoyl-L-alanine amidase AmiC
ALJHJBEP_01201	CDS	argA_1	2.3.1.1	Amino-acid acetyltransferase
ALJHJBEP_01202	CDS	recD	3.1.11.5	RecBCD enzyme subunit RecD
ALJHJBEP_01203	CDS	recB	3.1.11.5	RecBCD enzyme subunit RecB
ALJHJBEP_01204	CDS	ptrA	3.4.24.55	Protease 3
ALJHJBEP_01205	CDS	recC	3.1.11.5	RecBCD enzyme subunit RecC
ALJHJBEP_01206	CDS			hypothetical protein
ALJHJBEP_01207	CDS			hypothetical protein
ALJHJBEP_01208	CDS			hypothetical protein
ALJHJBEP_01209	CDS			hypothetical protein
ALJHJBEP_01210	CDS	thyA	2.1.1.45	Thymidylate synthase
ALJHJBEP_01211	CDS	lgt	2.4.99.-	Prolipoprotein diacylglyceryl transferase
ALJHJBEP_01212	CDS	ptsP	2.7.3.9	Phosphoenolpyruvate-dependent phosphotransferase system
ALJHJBEP_01213	CDS	rppH	3.6.1.-	RNA pyrophosphohydrolase
ALJHJBEP_01214	CDS			hypothetical protein
ALJHJBEP_01215	CDS	mutH		DNA mismatch repair protein MutH
ALJHJBEP_01216	CDS			hypothetical protein
ALJHJBEP_01217	CDS	ygdR_2		putative lipoprotein YgdR
ALJHJBEP_01218	CDS	yhdN_1	1.1.1.-	General stress protein 69
ALJHJBEP_01219	CDS	lplT		Lysophospholipid transporter LplT
ALJHJBEP_01220	CDS	aas_1		Bifunctional protein Aas
ALJHJBEP_01221	CDS	galR		HTH-type transcriptional regulator GalR
ALJHJBEP_01222	CDS	lysA	4.1.1.20	Diaminopimelate decarboxylase
ALJHJBEP_01223	CDS	cmpR_1		HTH-type transcriptional activator CmpR
ALJHJBEP_01224	CDS		5.1.1.13	Aspartate racemase
ALJHJBEP_01225	CDS	araE		Arabinose-proton symporter
ALJHJBEP_01226	CDS	kduD_2	1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
ALJHJBEP_01227	CDS	kduI	5.3.1.17	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
ALJHJBEP_01228	CDS	thlA	2.3.1.9	Acetyl-CoA acetyltransferase
ALJHJBEP_01229	CDS	yqeG		Inner membrane transport protein YqeG
ALJHJBEP_01230	CDS	ecpR_1		HTH-type transcriptional regulator EcpR
ALJHJBEP_01231	CDS			hypothetical protein
ALJHJBEP_01232	CDS			hypothetical protein
ALJHJBEP_01233	CDS			hypothetical protein
ALJHJBEP_01234	CDS			hypothetical protein
ALJHJBEP_01235	CDS			hypothetical protein
ALJHJBEP_01236	CDS			hypothetical protein
ALJHJBEP_01237	CDS	sicA_1		Chaperone protein SicA
ALJHJBEP_01238	CDS	hilA		Transcriptional regulator HilA
ALJHJBEP_01239	CDS			hypothetical protein
ALJHJBEP_01240	CDS			hypothetical protein
ALJHJBEP_01241	CDS	bvgA_2		Virulence factors putative positive transcription regulator BvgA
ALJHJBEP_01242	CDS			hypothetical protein
ALJHJBEP_01243	CDS			hypothetical protein
ALJHJBEP_01244	CDS	orgA		Oxygen-regulated invasion protein OrgA
ALJHJBEP_01245	CDS	prgK		Lipoprotein PrgK
ALJHJBEP_01246	CDS			hypothetical protein
ALJHJBEP_01247	CDS	yscF		Yop proteins translocation protein F
ALJHJBEP_01248	CDS			hypothetical protein
ALJHJBEP_01249	CDS			hypothetical protein
ALJHJBEP_01250	CDS	spaS		Surface presentation of antigens protein SpaS
ALJHJBEP_01251	CDS			hypothetical protein
ALJHJBEP_01252	CDS			hypothetical protein
ALJHJBEP_01253	CDS			hypothetical protein
ALJHJBEP_01254	CDS	fliP_1		Flagellar biosynthetic protein FliP
ALJHJBEP_01255	CDS	spaO		Surface presentation of antigens protein SpaO
ALJHJBEP_01256	CDS	spaN		Surface presentation of antigens protein SpaN
ALJHJBEP_01257	CDS			hypothetical protein
ALJHJBEP_01258	CDS			hypothetical protein
ALJHJBEP_01259	CDS	spaL	3.6.3.14	putative ATP synthase SpaL
ALJHJBEP_01260	CDS	invA		Invasion protein InvA
ALJHJBEP_01261	CDS			hypothetical protein
ALJHJBEP_01262	CDS			hypothetical protein
ALJHJBEP_01263	CDS			hypothetical protein
ALJHJBEP_01264	CDS			hypothetical protein
ALJHJBEP_01265	tRNA			tRNA-Arg(tct)
ALJHJBEP_01266	tRNA			tRNA-Met(cat)
ALJHJBEP_01267	CDS	dpnA_1	2.1.1.72	Modification methylase DpnIIB
ALJHJBEP_01268	CDS			hypothetical protein
ALJHJBEP_01269	CDS			hypothetical protein
ALJHJBEP_01270	CDS	rusA_7	3.1.22.4	Crossover junction endodeoxyribonuclease RusA
ALJHJBEP_01271	CDS			hypothetical protein
ALJHJBEP_01272	tRNA			tRNA-Met(cat)
ALJHJBEP_01273	tRNA			tRNA-Gln(ctg)
ALJHJBEP_01274	CDS			hypothetical protein
ALJHJBEP_01275	CDS	nanS_2	3.1.1.-	putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
ALJHJBEP_01276	CDS			hypothetical protein
ALJHJBEP_01277	CDS			hypothetical protein
ALJHJBEP_01278	CDS			hypothetical protein
ALJHJBEP_01279	tRNA			tRNA-Ala(ggc)
ALJHJBEP_01280	tRNA			tRNA-Ala(ggc)
ALJHJBEP_01281	CDS	yfgF_1	3.1.4.52	Cyclic di-GMP phosphodiesterase YfgF
ALJHJBEP_01282	CDS	nupC		Nucleoside permease NupC
ALJHJBEP_01283	CDS	mntH		Divalent metal cation transporter MntH
ALJHJBEP_01284	CDS			hypothetical protein
ALJHJBEP_01285	CDS	yfeO		Putative ion-transport protein YfeO
ALJHJBEP_01286	CDS	glk	2.7.1.2	Glucokinase
ALJHJBEP_01287	CDS	fryB_2	2.7.1.202	PTS system fructose-like EIIB component 1
ALJHJBEP_01288	CDS	fryC		Fructose-like permease IIC component 1
ALJHJBEP_01289	CDS	ypdF	3.4.11.-	Aminopeptidase YpdF
ALJHJBEP_01290	CDS	ypdE	3.4.11.-	Aminopeptidase YpdE
ALJHJBEP_01291	CDS	ptsI_2	2.7.3.9	Phosphoenolpyruvate-protein phosphotransferase
ALJHJBEP_01292	CDS	rhaR_1		HTH-type transcriptional activator RhaR
ALJHJBEP_01293	CDS	ypdB		Transcriptional regulatory protein YpdB
ALJHJBEP_01294	CDS	ypdA	2.7.13.3	Sensor histidine kinase YpdA
ALJHJBEP_01295	CDS	alaC	2.6.1.2	Glutamate-pyruvate aminotransferase AlaC
ALJHJBEP_01296	CDS	lpxP	2.3.1.242	Lipid A biosynthesis palmitoleoyltransferase
ALJHJBEP_01297	CDS			hypothetical protein
ALJHJBEP_01298	CDS			hypothetical protein
ALJHJBEP_01299	CDS			hypothetical protein
ALJHJBEP_01300	CDS	frc	2.8.3.16	Formyl-CoA:oxalate CoA-transferase
ALJHJBEP_01301	CDS	oxc	4.1.1.8	Oxalyl-CoA decarboxylase
ALJHJBEP_01302	CDS			hypothetical protein
ALJHJBEP_01303	CDS	yfdE	2.8.3.19	Acetyl-CoA:oxalate CoA-transferase
ALJHJBEP_01304	CDS	evgS	2.7.13.3	Sensor protein EvgS
ALJHJBEP_01305	CDS	evgA		DNA-binding transcriptional activator EvgA
ALJHJBEP_01306	CDS	emrK_1		putative multidrug resistance protein EmrK
ALJHJBEP_01307	CDS	emrY		putative multidrug resistance protein EmrY
ALJHJBEP_01308	CDS	dsdA	4.3.1.18	D-serine dehydratase
ALJHJBEP_01309	CDS	dsdX		DsdX permease
ALJHJBEP_01310	CDS	cytR_1		HTH-type transcriptional repressor CytR
ALJHJBEP_01311	CDS	sacA	3.2.1.26	Sucrose-6-phosphate hydrolase
ALJHJBEP_01312	CDS	scrK	2.7.1.4	Fructokinase
ALJHJBEP_01313	CDS	lacY_1		Lactose permease
ALJHJBEP_01314	CDS	bin3		Putative transposon Tn552 DNA-invertase bin3
ALJHJBEP_01315	CDS			hypothetical protein
ALJHJBEP_01316	CDS			hypothetical protein
ALJHJBEP_01317	CDS			hypothetical protein
ALJHJBEP_01318	CDS			hypothetical protein
ALJHJBEP_01319	CDS			hypothetical protein
ALJHJBEP_01320	CDS			hypothetical protein
ALJHJBEP_01321	CDS			hypothetical protein
ALJHJBEP_01322	CDS	intS_1		Prophage integrase IntS
ALJHJBEP_01323	tRNA			tRNA-Arg(cct)
ALJHJBEP_01324	CDS	yfdC		Inner membrane protein YfdC
ALJHJBEP_01325	CDS	mlaA		putative phospholipid-binding lipoprotein MlaA
ALJHJBEP_01326	CDS			hypothetical protein
ALJHJBEP_01327	CDS	fadL		Long-chain fatty acid transport protein
ALJHJBEP_01328	CDS			hypothetical protein
ALJHJBEP_01329	CDS	fadI	2.3.1.16	3-ketoacyl-CoA thiolase
ALJHJBEP_01330	CDS	fadJ		Fatty acid oxidation complex subunit alpha
ALJHJBEP_01331	CDS	sixA	3.1.3.-	Phosphohistidine phosphatase SixA
ALJHJBEP_01332	CDS			hypothetical protein
ALJHJBEP_01333	CDS			hypothetical protein
ALJHJBEP_01334	CDS			hypothetical protein
ALJHJBEP_01335	CDS			hypothetical protein
ALJHJBEP_01336	CDS			hypothetical protein
ALJHJBEP_01337	CDS			hypothetical protein
ALJHJBEP_01338	CDS			hypothetical protein
ALJHJBEP_01339	CDS			hypothetical protein
ALJHJBEP_01340	CDS			hypothetical protein
ALJHJBEP_01341	CDS	clpP_2	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
ALJHJBEP_01342	CDS			hypothetical protein
ALJHJBEP_01343	CDS			hypothetical protein
ALJHJBEP_01344	CDS			hypothetical protein
ALJHJBEP_01345	CDS			hypothetical protein
ALJHJBEP_01346	CDS			hypothetical protein
ALJHJBEP_01347	CDS	lexA_3	3.4.21.88	LexA repressor
ALJHJBEP_01348	CDS			hypothetical protein
ALJHJBEP_01349	CDS			hypothetical protein
ALJHJBEP_01350	CDS			hypothetical protein
ALJHJBEP_01351	CDS			hypothetical protein
ALJHJBEP_01352	CDS			hypothetical protein
ALJHJBEP_01353	CDS	ydcV_1		Inner membrane ABC transporter permease protein YdcV
ALJHJBEP_01354	CDS	potD		Spermidine/putrescine-binding periplasmic protein
ALJHJBEP_01355	CDS	cobB	3.5.1.-	NAD-dependent protein deacylase
ALJHJBEP_01356	CDS	nagK_1	2.7.1.59	N-acetyl-D-glucosamine kinase
ALJHJBEP_01357	CDS	lolE		Lipoprotein-releasing system transmembrane protein LolE
ALJHJBEP_01358	CDS	lolD_1	3.6.3.-	Lipoprotein-releasing system ATP-binding protein LolD
ALJHJBEP_01359	CDS	lolC		Lipoprotein-releasing system transmembrane protein LolC
ALJHJBEP_01360	CDS	ycfT		Inner membrane protein YcfT
ALJHJBEP_01361	CDS	mfd	3.6.4.-	Transcription-repair-coupling factor
ALJHJBEP_01362	CDS	ycfS	2.-.-.-	putative L,D-transpeptidase YcfS
ALJHJBEP_01363	CDS	bhsA_2		Multiple stress resistance protein BhsA
ALJHJBEP_01364	CDS	comR		HTH-type transcriptional repressor ComR
ALJHJBEP_01365	CDS			hypothetical protein
ALJHJBEP_01366	CDS	ndh	1.6.99.3	NADH dehydrogenase
ALJHJBEP_01367	CDS			hypothetical protein
ALJHJBEP_01368	CDS	nagZ	3.2.1.52	Beta-hexosaminidase
ALJHJBEP_01369	CDS	thiK	2.7.1.89	Thiamine kinase
ALJHJBEP_01370	CDS	lpoB		Penicillin-binding protein activator LpoB
ALJHJBEP_01371	CDS			hypothetical protein
ALJHJBEP_01372	CDS	hinT	3.9.1.-	Purine nucleoside phosphoramidase
ALJHJBEP_01373	CDS	fhuE		FhuE receptor
ALJHJBEP_01374	CDS	ptsG		PTS system glucose-specific EIICB component
ALJHJBEP_01375	CDS	ycfH	3.1.-.-	putative metal-dependent hydrolase YcfH
ALJHJBEP_01376	CDS	holB	2.7.7.7	DNA polymerase III subunit delta'
ALJHJBEP_01377	CDS	tmk	2.7.4.9	Thymidylate kinase
ALJHJBEP_01378	CDS	mltG	4.2.2.-	Endolytic murein transglycosylase
ALJHJBEP_01379	CDS	pabC	4.1.3.38	Aminodeoxychorismate lyase
ALJHJBEP_01380	CDS	fabF_1	2.3.1.179	3-oxoacyl-[acyl-carrier-protein] synthase 2
ALJHJBEP_01381	CDS	acpP_1		Acyl carrier protein
ALJHJBEP_01382	CDS	fabG_1	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
ALJHJBEP_01383	CDS	fabD	2.3.1.39	Malonyl CoA-acyl carrier protein transacylase
ALJHJBEP_01384	CDS	fabH	2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase 3
ALJHJBEP_01385	CDS	plsX	2.3.1.-	Phosphate acyltransferase
ALJHJBEP_01386	CDS	rpmF		50S ribosomal protein L32
ALJHJBEP_01387	CDS	yceD_6		Large ribosomal RNA subunit accumulation protein YceD
ALJHJBEP_01388	CDS	yceF		Maf-like protein YceF
ALJHJBEP_01389	CDS	rluC	5.4.99.24	Ribosomal large subunit pseudouridine synthase C
ALJHJBEP_01390	CDS	rne	3.1.26.12	Ribonuclease E
ALJHJBEP_01391	CDS	flgL		Flagellar hook-associated protein 3
ALJHJBEP_01392	CDS	flgK		Flagellar hook-associated protein 1
ALJHJBEP_01393	CDS	flgJ	3.2.1.-	Peptidoglycan hydrolase FlgJ
ALJHJBEP_01394	CDS	flgI		Flagellar P-ring protein
ALJHJBEP_01395	CDS	flgH		Flagellar L-ring protein
ALJHJBEP_01396	CDS	flgG		Flagellar basal-body rod protein FlgG
ALJHJBEP_01397	CDS	flgF		Flagellar basal-body rod protein FlgF
ALJHJBEP_01398	CDS	flgE		Flagellar hook protein FlgE
ALJHJBEP_01399	CDS	flgD		Basal-body rod modification protein FlgD
ALJHJBEP_01400	CDS	flgC		Flagellar basal-body rod protein FlgC
ALJHJBEP_01401	CDS	flgB		Flagellar basal body rod protein FlgB
ALJHJBEP_01402	CDS	flgA		Flagella basal body P-ring formation protein FlgA
ALJHJBEP_01403	CDS	flgM		Negative regulator of flagellin synthesis
ALJHJBEP_01404	CDS	flgN		Flagella synthesis protein FlgN
ALJHJBEP_01405	CDS	murJ		Lipid II flippase MurJ
ALJHJBEP_01406	CDS	yceM	1.-.-.-	Putative oxidoreductase YceM
ALJHJBEP_01407	CDS			hypothetical protein
ALJHJBEP_01408	CDS	ydaF	2.3.1.-	Putative ribosomal N-acetyltransferase YdaF
ALJHJBEP_01409	CDS	mdtH		Multidrug resistance protein MdtH
ALJHJBEP_01410	CDS	grxB		Glutaredoxin 2
ALJHJBEP_01411	CDS	yceB		putative lipoprotein YceB
ALJHJBEP_01412	CDS	pyrC	3.5.2.3	Dihydroorotase
ALJHJBEP_01413	CDS	dinI_2		DNA damage-inducible protein I
ALJHJBEP_01414	CDS	bssS		Biofilm regulator BssS
ALJHJBEP_01415	CDS	solA	1.5.3.-	N-methyl-L-tryptophan oxidase
ALJHJBEP_01416	CDS			hypothetical protein
ALJHJBEP_01417	CDS	yceJ		Cytochrome b561 
ALJHJBEP_01418	CDS	yceI		Protein YceI
ALJHJBEP_01419	CDS	moeZ		putative adenylyltransferase/sulfurtransferase MoeZ
ALJHJBEP_01420	CDS	lpxL	2.3.1.241	Lipid A biosynthesis lauroyltransferase
ALJHJBEP_01421	CDS	ymfD		Bacillibactin exporter
ALJHJBEP_01422	CDS			hypothetical protein
ALJHJBEP_01423	CDS			hypothetical protein
ALJHJBEP_01424	CDS	mdoH	2.4.1.-	Glucans biosynthesis glucosyltransferase H
ALJHJBEP_01425	CDS	mdoG		Glucans biosynthesis protein G
ALJHJBEP_01426	CDS	mdoC	2.1.-.-	Glucans biosynthesis protein C
ALJHJBEP_01427	CDS	clsC	2.7.8.-	Cardiolipin synthase C
ALJHJBEP_01428	CDS	ymdB	3.5.1.-	O-acetyl-ADP-ribose deacetylase
ALJHJBEP_01429	CDS			hypothetical protein
ALJHJBEP_01430	CDS	csgC		Curli assembly protein CsgC
ALJHJBEP_01431	CDS	csgA		Major curlin subunit
ALJHJBEP_01432	CDS	csgB		Minor curlin subunit
ALJHJBEP_01433	CDS	csgD		CsgBAC operon transcriptional regulatory protein
ALJHJBEP_01434	CDS	csgE		Curli production assembly/transport component CsgE
ALJHJBEP_01435	CDS			hypothetical protein
ALJHJBEP_01436	CDS	csgG		Curli production assembly/transport component CsgG
ALJHJBEP_01437	CDS	ycdZ		Inner membrane protein YcdZ
ALJHJBEP_01438	CDS	ycdY		Chaperone protein YcdY
ALJHJBEP_01439	CDS	ycdX	3.1.3.-	putative phosphatase YcdX
ALJHJBEP_01440	CDS	ghrA	1.1.1.79	Glyoxylate/hydroxypyruvate reductase A
ALJHJBEP_01441	tRNA			tRNA-Ser(gga)
ALJHJBEP_01442	CDS			hypothetical protein
ALJHJBEP_01443	CDS			hypothetical protein
ALJHJBEP_01444	CDS	pgi_2	5.3.1.9	Glucose-6-phosphate isomerase
ALJHJBEP_01445	CDS			hypothetical protein
ALJHJBEP_01446	CDS	dnaC_2		DNA replication protein DnaC
ALJHJBEP_01447	CDS			hypothetical protein
ALJHJBEP_01448	CDS			hypothetical protein
ALJHJBEP_01449	CDS			hypothetical protein
ALJHJBEP_01450	CDS			hypothetical protein
ALJHJBEP_01451	CDS			hypothetical protein
ALJHJBEP_01452	CDS	fusA		Elongation factor G
ALJHJBEP_01453	CDS	rpsG		30S ribosomal protein S7
ALJHJBEP_01454	CDS	rpsL		30S ribosomal protein S12
ALJHJBEP_01455	CDS	tusB		Protein TusB
ALJHJBEP_01456	CDS	dsrF		Intracellular sulfur oxidation protein DsrF
ALJHJBEP_01457	CDS	tusD	2.8.1.-	Sulfurtransferase TusD
ALJHJBEP_01458	CDS	dauR		Transcriptional regulator DauR
ALJHJBEP_01459	CDS	fkpA	5.2.1.8	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
ALJHJBEP_01460	CDS	slyX		Protein SlyX
ALJHJBEP_01461	CDS	slyD	5.2.1.8	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
ALJHJBEP_01462	CDS			hypothetical protein
ALJHJBEP_01463	CDS	kefC_1		Glutathione-regulated potassium-efflux system protein KefC
ALJHJBEP_01464	CDS	ywrO	1.6.99.-	General stress protein 14
ALJHJBEP_01465	CDS	yheS		putative ABC transporter ATP-binding protein YheS
ALJHJBEP_01466	CDS			hypothetical protein
ALJHJBEP_01467	CDS			hypothetical protein
ALJHJBEP_01468	CDS	cfxP	2.7.1.19	Phosphoribulokinase, plasmid
ALJHJBEP_01469	CDS			hypothetical protein
ALJHJBEP_01470	CDS	crp		cAMP-activated global transcriptional regulator CRP
ALJHJBEP_01471	CDS	yccS_1		Inner membrane protein YccS
ALJHJBEP_01472	CDS	argD	2.6.1.11	Acetylornithine/succinyldiaminopimelate aminotransferase
ALJHJBEP_01473	CDS	pabA	2.6.1.85	Aminodeoxychorismate synthase component 2
ALJHJBEP_01474	CDS	fic	2.7.7.-	putative adenosine monophosphate-protein transferase fic
ALJHJBEP_01475	CDS			hypothetical protein
ALJHJBEP_01476	CDS	ppiA	5.2.1.8	Peptidyl-prolyl cis-trans isomerase A
ALJHJBEP_01477	CDS	tsgA		Protein TsgA
ALJHJBEP_01478	CDS	nasD	1.7.1.4	Nitrite reductase [NAD(P)H]
ALJHJBEP_01479	CDS	nirD	1.7.1.15	Nitrite reductase (NADH) small subunit
ALJHJBEP_01480	CDS	nirC		Nitrite transporter NirC
ALJHJBEP_01481	CDS	cysG		Siroheme synthase
ALJHJBEP_01482	CDS			hypothetical protein
ALJHJBEP_01483	CDS	steT		Serine/threonine exchanger SteT
ALJHJBEP_01484	CDS	frlB	3.5.-.-	Fructosamine deglycase FrlB
ALJHJBEP_01485	CDS		5.1.3.30	D-psicose 3-epimerase
ALJHJBEP_01486	CDS	frlD_1	2.7.1.-	Fructoselysine 6-kinase
ALJHJBEP_01487	CDS	frlD_2	2.7.1.-	Fructoselysine 6-kinase
ALJHJBEP_01488	CDS	yurK		putative HTH-type transcriptional regulator YurK
ALJHJBEP_01489	CDS	trpS	6.1.1.2	Tryptophan--tRNA ligase
ALJHJBEP_01490	CDS	gph	3.1.3.18	Phosphoglycolate phosphatase
ALJHJBEP_01491	CDS	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase
ALJHJBEP_01492	CDS	dam	2.1.1.72	DNA adenine methylase
ALJHJBEP_01493	CDS	damX		Cell division protein DamX
ALJHJBEP_01494	CDS	aroB	4.2.3.4	3-dehydroquinate synthase
ALJHJBEP_01495	CDS	aroK	2.7.1.71	Shikimate kinase 1
ALJHJBEP_01496	CDS	pilQ		Type IV pilus biogenesis and competence protein PilQ
ALJHJBEP_01497	CDS			hypothetical protein
ALJHJBEP_01498	CDS			hypothetical protein
ALJHJBEP_01499	CDS			hypothetical protein
ALJHJBEP_01500	CDS			hypothetical protein
ALJHJBEP_01501	CDS	mrcA		Penicillin-binding protein 1A
ALJHJBEP_01502	CDS	nudE	3.6.1.-	ADP compounds hydrolase NudE
ALJHJBEP_01503	CDS	yrfF		Putative membrane protein IgaA 
ALJHJBEP_01504	CDS	yrfG	3.1.3.5	GMP/IMP nucleotidase YrfG
ALJHJBEP_01505	CDS	hslR		Heat shock protein 15
ALJHJBEP_01506	CDS	hslO		33 kDa chaperonin
ALJHJBEP_01507	CDS			hypothetical protein
ALJHJBEP_01508	CDS	pckA	4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)
ALJHJBEP_01509	CDS	envZ	2.7.13.3	Osmolarity sensor protein EnvZ
ALJHJBEP_01510	CDS	ompR_1		Transcriptional regulatory protein OmpR
ALJHJBEP_01511	CDS	greB		Transcription elongation factor GreB
ALJHJBEP_01512	CDS	rpsA_1		30S ribosomal protein S1
ALJHJBEP_01513	CDS	feoA		Fe(2+) transport protein A
ALJHJBEP_01514	CDS	feoB		Fe(2+) transporter FeoB
ALJHJBEP_01515	CDS	feoC		putative [Fe-S]-dependent transcriptional repressor FeoC
ALJHJBEP_01516	CDS			hypothetical protein
ALJHJBEP_01517	CDS	bioH	3.1.1.85	Pimeloyl-[acyl-carrier protein] methyl ester esterase
ALJHJBEP_01518	CDS	pyrE_1	2.4.2.10	Orotate phosphoribosyltransferase
ALJHJBEP_01519	CDS	nfuA		Fe/S biogenesis protein NfuA
ALJHJBEP_01520	CDS	gntT		High-affinity gluconate transporter
ALJHJBEP_01521	CDS	malQ	2.4.1.25	4-alpha-glucanotransferase
ALJHJBEP_01522	CDS	malP_1	2.4.1.1	Maltodextrin phosphorylase
ALJHJBEP_01523	CDS	malT		HTH-type transcriptional regulator MalT
ALJHJBEP_01524	CDS			hypothetical protein
ALJHJBEP_01525	CDS			hypothetical protein
ALJHJBEP_01526	CDS	rtcA	6.5.1.4	RNA 3'-terminal phosphate cyclase
